"lucc_values","2000","2005","2010","2015","2020"
"0",8346,9394,9947,10397,11714
"11",9379,7363,15732,22307,21454
"12",2840,2643,5242,8310,8780
"21",3329,3106,4063,5628,5958
"22",280,370,468,681,622
"23",1160,1023,1778,2563,2360
"24",765,853,1143,1365,1371
"31",1321,1226,1456,1926,1902
"32",387,319,483,584,533
"33",115,104,108,115,113
"41",1002,830,1703,2527,2439
"42",2234,2834,5690,6815,5862
"43",3425,3299,4863,6554,7383
"45",2166,2328,2458,2280,2059
"46",1194,908,2781,2995,3403
"51",747,964,1715,2912,3027
"52",1301,1173,1914,2694,2770
"53",649,1008,1453,2606,3106
"61",28,28,30,28,19
"64",616,357,1225,1316,1325
"65",10,19,19,28,29
"66",2,2,3,3,3
"67",6,9,7,5,0
"99",14,11,140,118,114
NA,1897509,1898654,1874404,1854068,1852478
"63",0,0,0,0,1
